name,jp name,id number,job,slot,Unique,VI melds,V melds,ilvl,pWD,mWD,main stat,Meld cap,Determination,Critical Hit,Skill Speed,Spell Speed,Piety,Tenacity,Direct Hit Rate
Galatyn Anemos,ガラティン・アネモス,21990,PLD,1,1,5,0,355,101,69,231,209,146,0,0,0,0,209,0
pair of Sudarshana Chakras Anemos,スダルシャナ・アネモス,21991,MNK,13,1,5,0,355,101,69,323,292,204,0,292,0,0,0,0
Farsha Anemos,ファルシャ・アネモス,21992,WAR,13,1,5,0,355,101,69,323,292,0,204,292,0,0,0,0
Ryunohige Anemos,竜の髭【風】,21993,DRG,13,1,5,0,355,101,69,323,292,0,292,0,0,0,0,204
Failnaught Anemos,フェイルノート・アネモス,21994,BRD,13,1,5,0,355,101,69,323,292,292,0,0,0,0,0,204
pair of Nagi Anemos,凪【風】,21995,NIN,13,1,5,0,355,101,69,323,292,292,204,0,0,0,0,0
Caladbolg Anemos,カラドボルグ・アネモス,21996,DRK,13,1,5,0,355,101,69,323,292,0,204,0,0,0,292,0
Outsider Anemos,アウトサイダー・アネモス,21997,MCH,13,1,5,0,355,101,69,323,292,0,204,0,0,0,0,292
Aymur Anemos,アイムール・アネモス,21998,WHM,13,1,5,0,355,101,137,323,292,0,0,0,292,204,0,0
Vanargand Anemos,ヴァナルガンド・アネモス,21999,BLM,13,1,5,0,355,101,137,323,292,0,204,0,292,0,0,0
copy of <Emphasis>Lemegeton</Emphasis> Anemos,レメゲトン・アネモス,22000,SMN,13,1,5,0,355,101,137,323,292,204,292,0,0,0,0,0
copy of <Emphasis>Organum</Emphasis> Anemos,オルガノン・アネモス,22001,SCH,13,1,5,0,355,101,137,323,292,204,0,0,0,292,0,0
Pleiades Anemos,プレアデス・アネモス,22002,AST,13,1,5,0,355,101,137,323,292,204,0,0,292,0,0,0
Kiku-ichimonji Anemos,菊一文字【風】,22003,SAM,13,1,5,0,355,101,69,323,292,204,0,0,0,0,0,292
Murgleis Anemos,ミュルグレス・アネモス,22004,RDM,13,1,5,0,355,101,137,323,292,204,0,0,0,0,0,292
Evalach Anemos,エヴァラック・アネモス,22005,PLD,2,1,0,0,355,0,0,92,83,58,0,0,0,0,83,0
Anemos chivalrous circlet,シヴァルラスサークレット・アネモス,22231,PLD,3,1,5,0,350,0,0,180,163,163,0,114,0,0,0,0
Anemos chivalrous surcoat,シヴァルラスサーコート・アネモス,22232,PLD,4,1,5,0,350,0,0,293,265,265,186,0,0,0,0,0
pair of Anemos chivalrous gauntlets,シヴァルラスガントレット・アネモス,22233,PLD,5,1,5,0,350,0,0,180,163,114,163,0,0,0,0,0
pair of Anemos chivalrous cuisses,シヴァルラスクウィス・アネモス,22234,PLD,7,1,5,0,350,0,0,293,265,0,0,265,0,0,186,0
pair of Anemos chivalrous sollerets,シヴァルラスソルレット・アネモス,22235,PLD,8,1,5,0,350,0,0,180,163,114,0,0,0,0,163,0
Anemos pacifist's circlet,パシフィストサークレット・アネモス,22236,MNK,3,1,5,0,350,0,0,180,163,163,114,0,0,0,0,0
Anemos pacifist's vest,パシフィストベスト・アネモス,22237,MNK,4,1,5,0,350,0,0,293,265,0,265,186,0,0,0,0
pair of Anemos pacifist's armguards,パシフィストアームガード・アネモス,22238,MNK,5,1,5,0,350,0,0,180,163,0,114,163,0,0,0,0
pair of Anemos pacifist's gaskins,パシフィストガスキン・アネモス,22239,MNK,7,1,5,0,350,0,0,293,265,186,0,0,0,0,0,265
pair of Anemos pacifist's boots,パシフィストブーツ・アネモス,22240,MNK,8,1,5,0,350,0,0,180,163,163,0,114,0,0,0,0
Anemos brutal visor,ブルータルバイザー・アネモス,22241,WAR,3,1,5,0,350,0,0,180,163,163,0,114,0,0,0,0
Anemos brutal lorica,ブルータルロリカ・アネモス,22242,WAR,4,1,5,0,350,0,0,293,265,265,186,0,0,0,0,0
pair of Anemos brutal gauntlets,ブルータルガントレット・アネモス,22243,WAR,5,1,5,0,350,0,0,180,163,114,163,0,0,0,0,0
pair of Anemos brutal breeches,ブルータルブリーチ・アネモス,22244,WAR,7,1,5,0,350,0,0,293,265,0,0,265,0,0,186,0
pair of Anemos brutal sollerets,ブルータルソルレット・アネモス,22245,WAR,8,1,5,0,350,0,0,180,163,114,0,0,0,0,163,0
Anemos trueblood armet,トゥルーブラッドアーメット・アネモス,22246,DRG,3,1,5,0,350,0,0,180,163,163,0,114,0,0,0,0
suit of Anemos trueblood mail,トゥルーブラッドメイル・アネモス,22247,DRG,4,1,5,0,350,0,0,293,265,0,265,0,0,0,0,186
pair of Anemos trueblood gauntlets,トゥルーブラッドガントレット・アネモス,22248,DRG,5,1,5,0,350,0,0,180,163,0,0,114,0,0,0,163
pair of Anemos trueblood brais,トゥルーブラッドブレー・アネモス,22249,DRG,7,1,5,0,350,0,0,293,265,186,0,265,0,0,0,0
