name,jp name,id number,job,slot,Unique,VI melds,V melds,ilvl,pWD,mWD,main stat,Meld cap,Determination,Critical Hit,Skill Speed,Spell Speed,Piety,Tenacity,Direct Hit Rate
diamond sword,ダイヤソード,21493,GLA PLD,1,1,2,0,375,105,71,254,227,227,159,0,0,0,0,0
pair of diamond knuckles,ダイヤナックル,21494,PGL MNK,13,1,2,0,375,105,71,355,318,318,0,223,0,0,0,0
diamond axe,ダイヤアクス,21495,MRD WAR,13,1,2,0,375,105,71,355,318,223,318,0,0,0,0,0
diamond halberd,ダイヤハルバード,21496,LNC DRG,13,1,2,0,375,105,71,355,318,0,318,0,0,0,0,223
diamond bow,ダイヤボウ,21497,ARC BRD,13,1,2,0,375,105,71,355,318,223,318,0,0,0,0,0
pair of diamond daggers,ダイヤダガー,21498,ROG NIN,13,1,2,0,375,105,71,355,318,318,223,0,0,0,0,0
diamond greatsword,ダイヤグレートソード,21499,DRK,13,1,2,0,375,105,71,355,318,318,0,223,0,0,0,0
diamond musketoon,ダイヤマスケトン,21500,MCH,13,1,2,0,375,105,71,355,318,223,0,0,0,0,0,318
diamond cane,ダイヤケーン,21501,CNJ WHM,13,1,2,0,375,105,141,355,318,0,0,0,318,223,0,0
diamond rod,ダイヤロッド,21502,THM BLM,13,1,2,0,375,105,141,355,318,0,223,0,318,0,0,0
diamond grimoire,ダイヤグリモア,21503,ACN SMN,13,1,2,0,375,105,141,355,318,318,223,0,0,0,0,0
diamond codex,ダイヤコーデックス,21504,SCH,13,1,2,0,375,105,141,355,318,0,318,0,0,223,0,0
diamond sextant,ダイヤセクスタント,21505,AST,13,1,2,0,375,105,141,355,318,223,318,0,0,0,0,0
diamond katana,ダイヤカタナ,21506,SAM,13,1,2,0,375,105,71,355,318,223,0,0,0,0,0,318
diamond tuck,ダイヤタック,21507,RDM,13,1,2,0,375,105,141,355,318,318,223,0,0,0,0,0
diamond shield,ダイヤシールド,21508,GLA PLD,2,1,0,0,375,0,0,101,91,91,64,0,0,0,0,0
diamond circlet of fending,ダイヤ・ディフェンダーサークレット,21509,GLA MRD PLD WAR DRK,3,1,2,0,370,0,0,198,178,0,125,0,0,0,178,0
suit of diamond armor of fending,ダイヤ・ディフェンダーアーマー,21510,GLA MRD PLD WAR DRK,4,1,2,0,370,0,0,322,289,289,0,202,0,0,0,0
pair of diamond gauntlets of fending,ダイヤ・ディフェンダーガントレット,21511,GLA MRD PLD WAR DRK,5,1,2,0,370,0,0,198,178,125,178,0,0,0,0,0
pair of diamond trousers of fending,ダイヤ・ディフェンダートラウザー,21512,GLA MRD PLD WAR DRK,7,1,2,0,370,0,0,322,289,289,202,0,0,0,0,0
pair of diamond greaves of fending,ダイヤ・ディフェンダーグリーヴ,21513,GLA MRD PLD WAR DRK,8,1,2,0,370,0,0,198,178,0,0,125,0,0,178,0
set of diamond tassets of fending,ダイヤ・ディフェンダータセット,21514,GLA MRD PLD WAR DRK,6,1,1,0,370,0,0,149,133,0,133,93,0,0,0,0
diamond helm of maiming,ダイヤ・スレイヤーへルム,21515,LNC DRG,3,1,2,0,370,0,0,198,178,0,125,178,0,0,0,0
suit of diamond armor of maiming,ダイヤ・スレイヤーアーマー,21516,LNC DRG,4,1,2,0,370,0,0,322,289,289,0,202,0,0,0,0
pair of diamond gauntlets of maiming,ダイヤ・スレイヤーガントレット,21517,LNC DRG,5,1,2,0,370,0,0,198,178,178,125,0,0,0,0,0
pair of diamond trousers of maiming,ダイヤ・スレイヤートラウザー,21518,LNC DRG,7,1,2,0,370,0,0,322,289,202,0,0,0,0,0,289
pair of diamond greaves of maiming,ダイヤ・スレイヤーグリーヴ,21519,LNC DRG,8,1,2,0,370,0,0,198,178,0,178,0,0,0,0,125
set of diamond tassets of maiming,ダイヤ・スレイヤータセット,21520,LNC DRG,6,1,1,0,370,0,0,149,133,0,133,0,0,0,0,93
diamond bandana of striking,ダイヤ・ストライカーバンダナ,21521,PGL MNK SAM,3,1,2,0,370,0,0,198,178,178,125,0,0,0,0,0
suit of diamond armor of striking,ダイヤ・ストライカーアーマー,21522,PGL MNK SAM,4,1,2,0,370,0,0,322,289,0,289,0,0,0,0,202
pair of diamond gauntlets of striking,ダイヤ・ストライカーガントレット,21523,PGL MNK SAM,5,1,2,0,370,0,0,198,178,178,125,0,0,0,0,0
pair of diamond trousers of striking,ダイヤ・ストライカートラウザー,21524,PGL MNK SAM,7,1,2,0,370,0,0,322,289,0,0,289,0,0,0,202
pair of diamond boots of striking,ダイヤ・ストライカーブーツ,21525,PGL MNK SAM,8,1,2,0,370,0,0,198,178,125,0,0,0,0,0,178
set of diamond tassets of striking,ダイヤ・ストライカータセット,21526,PGL MNK SAM,6,1,1,0,370,0,0,149,133,93,0,133,0,0,0,0
diamond helm of aiming,ダイヤ・レンジャーへルム,21527,ARC BRD MCH,3,1,2,0,370,0,0,198,178,0,125,178,0,0,0,0
diamond coat of aiming,ダイヤ・レンジャーコート,21528,ARC BRD MCH,4,1,2,0,370,0,0,322,289,0,289,0,0,0,0,202
pair of diamond gauntlets of aiming,ダイヤ・レンジャーガントレット,21529,ARC BRD MCH,5,1,2,0,370,0,0,198,178,0,0,178,0,0,0,125
pair of diamond trousers of aiming,ダイヤ・レンジャートラウザー,21530,ARC BRD MCH,7,1,2,0,370,0,0,322,289,289,0,202,0,0,0,0
pair of diamond boots of aiming,ダイヤ・レンジャーブーツ,21531,ARC BRD MCH,8,1,2,0,370,0,0,198,178,125,0,0,0,0,0,178
set of diamond tassets of aiming,ダイヤ・レンジャータセット,21532,ARC BRD MCH,6,1,1,0,370,0,0,149,133,133,0,93,0,0,0,0
diamond bandana of scouting,ダイヤ・スカウトバンダナ,21533,ROG NIN,3,1,2,0,370,0,0,198,178,125,178,0,0,0,0,0
suit of diamond armor of scouting,ダイヤ・スカウトアーマー,21534,ROG NIN,4,1,2,0,370,0,0,322,289,289,0,202,0,0,0,0
pair of diamond gauntlets of scouting,ダイヤ・スカウトガントレット,21535,ROG NIN,5,1,2,0,370,0,0,198,178,125,0,178,0,0,0,0
pair of diamond trousers of scouting,ダイヤ・スカウトトラウザー,21536,ROG NIN,7,1,2,0,370,0,0,322,289,0,202,0,0,0,0,289
pair of diamond boots of scouting,ダイヤ・スカウトブーツ,21537,ROG NIN,8,1,2,0,370,0,0,198,178,0,125,178,0,0,0,0
set of diamond tassets of scouting,ダイヤ・スカウトタセット,21538,ROG NIN,6,1,1,0,370,0,0,149,133,0,133,0,0,0,0,93
diamond circlet of healing,ダイヤ・ヒーラーサークレット,21539,CNJ WHM SCH AST,3,1,2,0,370,0,0,198,178,0,0,0,178,125,0,0
diamond robe of healing,ダイヤ・ヒーラーローブ,21540,CNJ WHM SCH AST,4,1,2,0,370,0,0,322,289,0,289,0,202,0,0,0
pair of diamond gloves of healing,ダイヤ・ヒーラーグローブ,21541,CNJ WHM SCH AST,5,1,2,0,370,0,0,198,178,178,0,0,125,0,0,0
pair of diamond trousers of healing,ダイヤ・ヒーラートラウザー,21542,CNJ WHM SCH AST,7,1,2,0,370,0,0,322,289,0,202,0,0,289,0,0
pair of diamond boots of healing,ダイヤ・ヒーラーブーツ,21543,CNJ WHM SCH AST,8,1,2,0,370,0,0,198,178,125,0,0,178,0,0,0
set of diamond tassets of healing,ダイヤ・ヒーラータセット,21544,CNJ WHM SCH AST,6,1,1,0,370,0,0,149,133,133,0,0,0,93,0,0
diamond hat of casting,ダイヤ・キャスターハット,21545,THM ACN BLM SMN RDM,3,1,2,0,370,0,0,198,178,178,125,0,0,0,0,0
diamond robe of casting,ダイヤ・キャスターローブ,21546,THM ACN BLM SMN RDM,4,1,2,0,370,0,0,322,289,0,202,0,0,0,0,289
pair of diamond gloves of casting,ダイヤ・キャスターグローブ,21547,THM ACN BLM SMN RDM,5,1,2,0,370,0,0,198,178,0,0,0,178,0,0,125
pair of diamond trousers of casting,ダイヤ・キャスタートラウザー,21548,THM ACN BLM SMN RDM,7,1,2,0,370,0,0,322,289,289,0,0,202,0,0,0
pair of diamond boots of casting,ダイヤ・キャスターブーツ,21549,THM ACN BLM SMN RDM,8,1,2,0,370,0,0,198,178,0,178,0,125,0,0,0
set of diamond tassets of casting,ダイヤ・キャスタータセット,21550,THM ACN BLM SMN RDM,6,1,1,0,370,0,0,149,133,0,93,0,133,0,0,0
diamond earring of fending,ダイヤ・ディフェンダーイヤリング,21551,GLA MRD PLD WAR DRK,9,1,1,0,370,0,0,44,133,0,0,133,0,0,93,0
diamond earring of slaying,ダイヤ・アタッカーイヤリング,21552,PGL LNC MNK DRG SAM,9,1,1,0,370,0,0,149,133,93,0,133,0,0,0,0
diamond earring of aiming,ダイヤ・レンジャーイヤリング,21553,ARC ROG BRD NIN MCH,9,1,1,0,370,0,0,149,133,133,93,0,0,0,0,0
diamond earring of healing,ダイヤ・ヒーラーイヤリング,21554,CNJ WHM SCH AST,9,1,1,0,370,0,0,149,133,93,0,0,0,133,0,0
diamond earring of casting,ダイヤ・キャスターイヤリング,21555,THM ACN BLM SMN RDM,9,1,1,0,370,0,0,149,133,93,0,0,0,0,0,133
diamond necklace of fending,ダイヤ・ディフェンダーネックレス,21556,GLA MRD PLD WAR DRK,10,1,1,0,370,0,0,44,133,0,93,0,0,0,133,0
diamond necklace of slaying,ダイヤ・アタッカーネックレス,21557,PGL LNC MNK DRG SAM,10,1,1,0,370,0,0,149,133,0,0,93,0,0,0,133
diamond necklace of aiming,ダイヤ・レンジャーネックレス,21558,ARC ROG BRD NIN MCH,10,1,1,0,370,0,0,149,133,133,93,0,0,0,0,0
diamond necklace of healing,ダイヤ・ヒーラーネックレス,21559,CNJ WHM SCH AST,10,1,1,0,370,0,0,149,133,0,0,0,93,133,0,0
diamond necklace of casting,ダイヤ・キャスターネックレス,21560,THM ACN BLM SMN RDM,10,1,1,0,370,0,0,149,133,0,93,0,133,0,0,0
diamond bracelet of fending,ダイヤ・ディフェンダーブレスレット,21561,GLA MRD PLD WAR DRK,11,1,1,0,370,0,0,44,133,0,133,93,0,0,0,0
diamond bracelet of slaying,ダイヤ・アタッカーブレスレット,21562,PGL LNC MNK DRG SAM,11,1,1,0,370,0,0,149,133,133,0,0,0,0,0,93
diamond bracelet of aiming,ダイヤ・レンジャーブレスレット,21563,ARC ROG BRD NIN MCH,11,1,1,0,370,0,0,149,133,93,0,133,0,0,0,0
diamond bracelet of healing,ダイヤ・ヒーラーブレスレット,21564,CNJ WHM SCH AST,11,1,1,0,370,0,0,149,133,133,93,0,0,0,0,0
diamond bracelet of casting,ダイヤ・キャスターブレスレット,21565,THM ACN BLM SMN RDM,11,1,1,0,370,0,0,149,133,93,0,0,0,0,0,133
