name,jp name,id number,job,slot,Unique,VI melds,V melds,ilvl,pWD,mWD,main stat,Meld cap,Determination,Critical Hit,Skill Speed,Spell Speed,Piety,Tenacity,Direct Hit Rate
ryumyaku ring of slaying,龍脈指輪【闘士】,21395,PGL LNC MNK DRG SAM,12,1,1,0,360,0,0,142,128,128,0,90,0,0,0,0
ryumyaku ring of aiming,龍脈指輪【弓士】,21396,ARC ROG BRD NIN MCH,12,1,1,0,360,0,0,142,128,0,128,90,0,0,0,0
ryumyaku ring of healing,龍脈指輪【学士】,21397,CNJ WHM SCH AST,12,1,1,0,360,0,0,142,128,128,0,0,0,90,0,0
ryumyaku ring of casting,龍脈指輪【術士】,21398,THM ACN BLM SMN RDM,12,1,1,0,360,0,0,142,128,0,90,0,0,0,0,128
Homura Kai,焔【改】,21399,GLA PLD,1,1,2,0,370,104,70,248,222,0,222,0,0,0,156,0
pair of Jikki Kai,実基【改】,21400,PGL MNK,13,1,2,0,370,104,70,347,311,0,218,0,0,0,0,311
Mikazuki Kai,三日月【改】,21401,MRD WAR,13,1,2,0,370,104,70,347,311,0,0,218,0,0,311,0
Otegine Kai,御手杵【改】,21402,LNC DRG,13,1,2,0,370,104,70,347,311,311,0,218,0,0,0,0
Kujakuo Kai,孔雀王【改】,21403,ARC BRD,13,1,2,0,370,104,70,347,311,0,218,0,0,0,0,311
pair of Niokiyotsuna Kai,二王清綱【改】,21404,ROG NIN,13,1,2,0,370,104,70,347,311,218,0,0,0,0,0,311
Odenta Kai,大伝多【改】,21405,DRK,13,1,2,0,370,104,70,347,311,311,0,0,0,0,218,0
Ikkansai Kai,一貫斎【改】,21406,MCH,13,1,2,0,370,104,70,347,311,0,218,311,0,0,0,0
Byakurenge Kai,白蓮華【改】,21407,CNJ WHM,13,1,2,0,370,104,140,347,311,311,218,0,0,0,0,0
Makibi Kai,真備【改】,21408,THM BLM,13,1,2,0,370,104,140,347,311,218,0,0,0,0,0,311
copy of <Emphasis>Kinyoshu</Emphasis> Kai,金葉集【改】,21409,ACN SMN,13,1,2,0,370,104,140,347,311,0,0,0,311,0,0,218
copy of <Emphasis>Koyoshu</Emphasis> Kai,紅葉集【改】,21410,SCH,13,1,2,0,370,104,140,347,311,0,0,0,311,218,0,0
Kontengi Kai,渾天儀【改】,21411,AST,13,1,2,0,370,104,140,347,311,0,0,0,218,311,0,0
Kanesada Kai,兼定【改】,21412,SAM,13,1,2,0,370,104,70,347,311,0,311,0,0,0,0,218
Shishio Kai,獅子王【改】,21413,RDM,13,1,2,0,370,104,140,347,311,0,0,0,311,0,0,218
Mitsuba Kai,三葉【改】,21414,GLA PLD,2,1,0,0,370,0,0,99,89,0,89,0,0,0,62,0
dai-ryumyaku hachigane of fending,大龍脈鉢金【武士】,21415,GLA MRD PLD WAR DRK,3,1,2,0,370,0,0,198,178,178,0,125,0,0,0,0
dai-ryumyaku jufuku of fending,大龍脈戎服【武士】,21416,GLA MRD PLD WAR DRK,4,1,2,0,370,0,0,322,289,202,289,0,0,0,0,0
pair of dai-ryumyaku kote of fending,大龍脈籠手【武士】,21417,GLA MRD PLD WAR DRK,5,1,2,0,370,0,0,198,178,0,0,125,0,0,178,0
dai-ryumyaku jui of fending,大龍脈戎衣【武士】,21418,GLA MRD PLD WAR DRK,7,1,2,0,370,0,0,322,289,0,202,289,0,0,0,0
pair of dai-ryumyaku sune-ate of fending,大龍脈脛当【武士】,21419,GLA MRD PLD WAR DRK,8,1,2,0,370,0,0,198,178,178,125,0,0,0,0,0
dai-ryumyaku obi of fending,大龍脈帯【武士】,21420,GLA MRD PLD WAR DRK,6,1,1,0,370,0,0,149,133,0,0,93,0,0,133,0
dai-ryumyaku hachigane of maiming,大龍脈鉢金【槍士】,21421,LNC DRG,3,1,2,0,370,0,0,198,178,178,0,0,0,0,0,125
